R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0001136_001	SPE_K45033733	0.041779148	inactive	N	SPE_K45033733	FAMCICLOVIR	7.98	inactive
R4A_0001449_001	SPE_K56565215	0.026911552	inactive	N	SPE_K56565215	Vipadenant	-1.13	inactive
R4A_0005171_001	SPE_K59256312	-0.07795021	inactive	N	SPE_K59256312	Gabexate (mesylate)	-13.88	inactive
R4A_0001669_001	SPE_K61524559	-0.114681287	inactive	N	SPE_K61524559	PFI-3	-9.51	inactive
R4A_0000378_001	SPE_K03109492	0.122178893	inactive	N	SPE_K03109492	NSC-663284	8.37	inactive
R4A_0001175_001	SPE_K27721098	-0.060460627	inactive	N	SPE_K27721098	CLOPIDOGREL SULFATE	-3.68	inactive
R4A_0004493_001	SPE_K89337853	-0.000537192	inactive	N	SPE_K89337853	Minodronic Acid Hydrate	6.24	inactive
R4A_0000287_001	SPE_K82028950	0.005792201	inactive	N	SPE_K82028950	CGH2466	-2.04	inactive
R4A_0005394_001	SPE_A51078674	0.226987822	inactive	N	SPE_A51078674	Diclofensine (hydrochloride)	12.66	inactive
R4A_0004217_001	SPE_K55305701	-0.004804471	inactive	N	SPE_K55305701	SC144	-1.48	inactive
R4A_0004111_001					SPE_K87718015	Dynasore	-0.67	inactive
R4A_0004732_001	SPE_K63979671	-0.061129893	inactive	N	SPE_K63979671	etifenin	-4.82	inactive
R4A_0001235_001	SPE_K34428485	-0.084411156	inactive	N	SPE_K34428485	AG-555	-1.59	inactive
R4A_0002543_001	SPE_K70614402	-0.106621275	inactive	N	SPE_K70614402	SEN-1269	-4.33	inactive
R4A_0003178_001					SPE_K93806173	N-MPPP	6.1	inactive
R4A_0000157_001	SPE_K48832421	0.041233637	inactive	N	SPE_K48832421	PIM-1-Inhibitor-2	0.29	inactive
R4A_0004686_001					SPE_K22969690	CHLORAMPHENICOL	-0.53	inactive
R4A_0004025_001	SPE_K65890018	-0.001364206	inactive	N	SPE_K65890018	SSR128129E (SSR)	-3.94	inactive
R4A_0003925_001	SPE_K21295289	-0.083829868	inactive	N	SPE_K21295289	Senicapoc	-0.04	inactive
R4A_0005432_001	SPE_K19958299	0.036666759	inactive	N	SPE_K19958299	TCS-2210	-1.98	inactive
R4A_0001409_001	SPE_K88560311	-0.138111435	inactive	N	SPE_K88560311	"Rucaparib (AG-014699,PF-01367338) phosphate"	13.28	inactive
R4A_0003588_001	SPE_K53814070	-0.088327468	inactive	N	SPE_K53814070	Ripasudil	0.75	inactive
R4A_0000398_001	SPE_A61154809	-0.001165597	inactive	N	SPE_A61154809	GLICLAZIDE	-6.34	inactive
R4A_0002205_001	SPE_A97479839	-0.029980461	inactive	N	SPE_A97479839	PIPERIDOLATE HYDROCHLORIDE	6.22	inactive
R4A_0004122_001	SPE_K01902415	-0.095506195	inactive	N	SPE_K01902415	pirinixic-acid	-1.65	inactive
R4A_0002856_001	SPE_K06890060	-0.017752399	inactive	N	SPE_K06890060	alda-1	-2	inactive
R4A_0002174_001	SPE_A35623999	-0.078214459	inactive	N	SPE_A35623999	CGP-37157	-3.44	inactive
R4A_0002005_001	SPE_K47816470	-0.021666422	inactive	N	SPE_K47816470	AF38469	-1.47	inactive
R4A_0005263_001					SPE_A67514145	FURALTADONE	8.14	inactive
R4A_0005490_001	SPE_K55166090	0.078942251	inactive	N	SPE_K55166090	EFLOXATE	-8.68	inactive
R4A_0005017_001					SPE_K66437909	KT-433	-9.49	inactive
R4A_0001335_001	SPE_K46435977	0.016905045	inactive	N	SPE_K46435977	VALACYCLOVIR HYDROCHLORIDE	4.32	inactive
R4A_0005241_001	SPE_K32372024	-0.03304588	inactive	N	SPE_K32372024	"N,N??-Diacetyl-L-cystine"	-11.67	inactive
R4A_0001354_001	SPE_A33749298	0.026571618	inactive	N	SPE_A33749298	OXYPHENBUTAZONE	-3.35	inactive
R4A_0004277_001					SPE_K34008116	Dolasetron	-7.26	inactive
R4A_0002676_001	SPE_K36467523	0.007958452	inactive	N	SPE_K36467523	Bindarit	-4.36	inactive
R4A_0000165_001	SPE_K06294530	-0.013038041	inactive	N	SPE_K06294530	UK 383367	-5.23	inactive
R4A_0000003_001	SPE_K28571773	-0.11253035	inactive	N	SPE_K28571773	SP-141	16.13	inactive
R4A_0004875_001	SPE_K76792630	-0.093672388	inactive	N	SPE_K76792630	TC-Mps1-12	0.58	inactive
R4A_0004779_002	SPE_K70301876	0.119188235	inactive	N	SPE_K70301876	ESCITALOPRAM OXALATE	2.98	inactive
R4A_0004516_001	SPE_K83020231	0.078091293	inactive	N	SPE_K83020231	DBPR108	-0.16	inactive
R4A_0001506_001	SPE_K27911943	-0.118368874	inactive	N	SPE_K27911943	"chromanol-293B-(-)-[3R,4S]"	-6.66	inactive
R4A_0004451_001	SPE_K52960356	0.06724212	inactive	N	SPE_K52960356	ACETOHEXAMIDE	4.62	inactive
R4A_0003946_001	SPE_K48195801	0.798171917	active	Y	SPE_K48195801	tecastemizole	24.3	inactive
R4A_0002402_001	SPE_K59632282	-0.004873427	inactive	N	SPE_K59632282	QUINIDINE GLUCONATE	11.5	inactive
R4A_0002402_002					SPE_K99257182	QUININE	3.64	inactive
R4A_0003848_001	SPE_K19309090	-0.111384903	inactive	N	SPE_K19309090	SR-95639A	1.05	inactive
R4A_0001539_001	SPE_K29313239	-0.050058422	inactive	N	SPE_K29313239	4-DAMP	-5.87	inactive
R4A_0001564_001					SPE_K71075609	Dorzolamide HCL	2.72	inactive
R4A_0000663_001	SPE_K71164191	-0.041553729	inactive	N	SPE_K71164191	KD-023	0.17	inactive
R4A_0001098_001					SPE_A08302182	Etonogestrel	-2.77	inactive
R4A_0004003_001					SPE_A42881122	cyamemazine	42.39	inactive
R4A_0005157_001	SPE_K03128577	0.084070224	inactive	N	SPE_K03128577	MG-624	1.51	inactive
R4A_0003207_001	SPE_K68402494	0.927014638	active	Y	SPE_K68402494	ML-9	47.16	inactive
R4A_0002351_001					SPE_K34508702	Itanapraced	2.46	inactive
R4A_0003869_001	SPE_K02782351	0.064966055	inactive	N	SPE_K02782351	SSR-180711	0.72	inactive
